match_date,league,home_team,away_team,home_score,away_score,both_teams_score,over_2_5,first_half_home,first_half_away,first_half_result,home_corners,away_corners,Total_corners,Corners_result,home_yellow_cards,away_yellow_cards,Card_result
02/10/2021,SP1,Cadiz,Valencia,0,0,NG,No,0,0,Draw,1,3,4,Away Win,3,4,Away Win
02/10/2021,SP1,Ath Madrid,Barcelona,2,0,NG,No,2,0,Home Win,2,6,8,Away Win,2,1,Home Win
03/10/2021,SP1,Elche,Celta,1,0,NG,No,0,0,Draw,7,4,11,Home Win,4,3,Home Win
03/10/2021,SP1,Espanol,Real Madrid,2,1,GG,Yes,1,0,Home Win,2,8,10,Away Win,2,1,Home Win
03/10/2021,SP1,Getafe,Sociedad,1,1,GG,No,1,0,Home Win,2,5,7,Away Win,4,2,Home Win
03/10/2021,SP1,Villarreal,Betis,2,0,NG,No,1,0,Home Win,4,6,10,Away Win,2,4,Away Win
03/10/2021,SP1,Granada,Sevilla,1,0,NG,No,1,0,Home Win,2,6,8,Away Win,3,4,Away Win
16/10/2021,SP1,Levante,Getafe,0,0,NG,No,0,0,Draw,3,11,14,Away Win,3,3,Draw
16/10/2021,SP1,Sociedad,Mallorca,1,0,NG,No,0,0,Draw,2,6,8,Away Win,3,3,Draw
17/10/2021,SP1,Vallecano,Elche,2,1,GG,Yes,1,1,Draw,6,2,8,Home Win,2,2,Draw
17/10/2021,SP1,Celta,Sevilla,0,1,NG,No,0,0,Draw,5,4,9,Home Win,2,3,Away Win
17/10/2021,SP1,Villarreal,Osasuna,1,2,GG,Yes,0,1,Away Win,4,4,8,Draw,1,5,Away Win
17/10/2021,SP1,Barcelona,Valencia,3,1,GG,Yes,2,1,Home Win,9,3,12,Home Win,2,3,Away Win
18/10/2021,SP1,Alaves,Betis,0,1,NG,No,0,0,Draw,7,7,14,Draw,1,1,Draw
18/10/2021,SP1,Espanol,Cadiz,2,0,NG,No,1,0,Home Win,7,9,16,Away Win,1,0,Home Win
22/10/2021,SP1,Osasuna,Granada,1,1,GG,No,1,0,Home Win,4,1,5,Home Win,1,3,Away Win
23/10/2021,SP1,Valencia,Mallorca,2,2,GG,Yes,0,2,Away Win,5,0,5,Home Win,4,5,Away Win
23/10/2021,SP1,Cadiz,Alaves,0,2,NG,No,0,1,Away Win,14,3,17,Home Win,0,2,Away Win
23/10/2021,SP1,Elche,Espanol,2,2,GG,Yes,1,0,Home Win,3,7,10,Away Win,3,1,Home Win
23/10/2021,SP1,Ath Bilbao,Villarreal,2,1,GG,Yes,1,1,Draw,9,2,11,Home Win,0,3,Away Win
24/10/2021,SP1,Sevilla,Levante,5,3,GG,Yes,3,1,Home Win,10,3,13,Home Win,1,2,Away Win
24/10/2021,SP1,Barcelona,Real Madrid,1,2,GG,Yes,0,1,Away Win,7,4,11,Home Win,1,1,Draw
24/10/2021,SP1,Betis,Vallecano,3,2,GG,Yes,2,1,Home Win,4,4,8,Draw,1,2,Away Win
24/10/2021,SP1,Ath Madrid,Sociedad,2,2,GG,Yes,0,1,Away Win,4,3,7,Home Win,1,3,Away Win
